#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	5.70	0.00	2.10	0.997	0.959	0.992	0.815	0.833
batch-02_epo-040	0.29	4.64	0.00	2.02	0.982	0.981	0.983	0.827	0.843
batch-02_epo-060	0.27	5.79	0.00	1.21	0.987	0.983	0.993	0.821	0.838
batch-02_epo-080	0.26	5.61	0.00	1.34	0.990	0.983	0.994	0.839	0.855
batch-02_epo-100	0.27	5.51	0.00	1.05	0.997	0.996	0.995	0.834	0.850
batch-04_epo-020	0.51	4.12	0.00	2.75	0.985	0.984	0.985	0.801	0.820
batch-04_epo-040	0.57	3.85	0.00	2.07	0.988	0.992	0.995	0.831	0.847
batch-04_epo-060	0.27	3.54	0.00	1.37	0.997	0.990	0.995	0.836	0.852
batch-04_epo-080	0.28	3.44	0.00	1.25	0.994	0.991	0.995	0.830	0.847
batch-04_epo-100	0.28	3.66	0.00	0.93	0.995	0.999	0.995	0.840	0.855
batch-08_epo-020	1.20	1.95	0.00	0.82	0.980	0.973	0.983	0.808	0.825
batch-08_epo-040	1.19	1.95	0.00	0.92	0.989	0.976	0.988	0.821	0.838
batch-08_epo-060	1.20	1.95	0.00	0.83	0.989	0.993	0.993	0.832	0.848
batch-08_epo-080	1.20	1.96	0.00	0.71	0.979	0.998	0.995	0.833	0.849
batch-08_epo-100	1.20	1.95	0.00	0.53	0.989	0.981	0.994	0.841	0.856
batch-10_epo-020	0.22	2.05	0.00	0.76	0.977	0.926	0.979	0.806	0.824
batch-10_epo-040	0.22	1.69	0.00	0.75	0.984	0.976	0.982	0.812	0.829
batch-10_epo-060	0.22	1.69	0.00	1.02	0.978	0.998	0.995	0.841	0.857
batch-10_epo-080	0.22	1.68	0.00	0.63	0.997	0.980	0.994	0.835	0.851
batch-10_epo-100	0.22	1.69	0.00	0.57	0.997	0.992	0.995	0.832	0.848
batch-16_epo-020	0.22	1.68	0.00	0.98	1.000	0.456	0.941	0.776	0.793
batch-16_epo-040	0.22	1.69	0.00	0.68	0.974	0.980	0.980	0.825	0.840
batch-16_epo-060	0.22	1.68	0.00	0.93	0.986	0.992	0.994	0.834	0.850
batch-16_epo-080	0.22	1.69	0.00	0.59	0.991	0.992	0.995	0.845	0.860
batch-16_epo-100	0.22	1.68	0.00	0.52	0.994	0.989	0.995	0.833	0.850
batch-20_epo-020	0.22	1.69	0.00	0.92	1.000	0.249	0.722	0.576	0.591
batch-20_epo-040	0.22	1.68	0.00	0.90	0.991	0.946	0.980	0.820	0.836
batch-20_epo-060	0.22	1.68	0.00	0.65	0.988	0.993	0.995	0.847	0.862
batch-20_epo-080	0.22	1.68	0.00	0.62	0.998	0.982	0.995	0.835	0.851
batch-20_epo-100	0.22	1.68	0.00	0.48	0.997	0.990	0.995	0.836	0.852
batch-30_epo-020	0.22	1.69	0.00	1.44	0.032	0.883	0.637	0.507	0.520
batch-30_epo-040	0.22	1.68	0.00	0.64	1.000	0.286	0.957	0.790	0.807
batch-30_epo-060	0.22	1.68	0.00	0.60	0.990	0.914	0.984	0.824	0.840
batch-30_epo-080	0.22	1.68	0.00	0.56	0.977	0.991	0.994	0.831	0.847
batch-30_epo-100	0.22	1.69	0.00	0.48	0.985	0.997	0.994	0.831	0.847
