#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-020	0.25	3.32	0.00	1.58	0.990	1.000	0.995	0.807	0.826
batch-04_epo-040	0.25	3.15	0.00	0.77	0.993	1.000	0.993	0.798	0.817
batch-04_epo-060	0.24	3.13	0.00	0.63	0.994	1.000	0.994	0.809	0.828
batch-04_epo-080	0.24	3.12	0.00	0.60	0.995	1.000	0.995	0.813	0.831
batch-04_epo-100	0.24	3.02	0.00	0.68	0.997	0.998	0.995	0.814	0.832
batch-08_epo-020	0.26	1.81	0.01	2.40	0.996	0.997	0.995	0.802	0.821
batch-08_epo-040	0.26	1.80	0.00	2.34	0.994	1.000	0.994	0.808	0.827
batch-08_epo-060	0.26	1.83	0.00	2.39	0.996	0.998	0.995	0.807	0.826
batch-08_epo-080	0.28	1.81	0.00	2.18	0.995	0.998	0.994	0.812	0.831
batch-08_epo-100	0.28	1.78	0.00	2.21	0.997	1.000	0.995	0.814	0.833
batch-16_epo-020	0.68	1.69	0.00	1.96	0.999	0.999	0.995	0.799	0.818
batch-16_epo-040	0.68	1.66	0.00	2.12	0.995	1.000	0.995	0.807	0.826
batch-16_epo-060	0.68	1.71	0.00	1.43	0.992	1.000	0.994	0.807	0.826
batch-16_epo-080	0.68	1.68	0.00	1.31	0.995	0.998	0.994	0.810	0.828
batch-16_epo-100	0.68	1.70	0.00	1.29	0.995	1.000	0.995	0.813	0.831
batch-32_epo-020	1.33	2.66	0.00	0.91	0.998	0.998	0.995	0.794	0.814
batch-32_epo-040	1.30	2.68	0.00	0.71	0.996	0.999	0.995	0.810	0.828
batch-32_epo-060	1.34	2.81	0.00	0.55	0.995	0.998	0.995	0.807	0.826
batch-32_epo-080	1.32	2.55	0.00	0.41	0.997	0.999	0.995	0.810	0.829
batch-32_epo-100	1.33	2.59	0.00	0.37	0.997	0.999	0.995	0.814	0.832
