#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	4.52	0.00	0.51	0.988	1.000	0.995	0.827	0.844
batch-02_epo-040	0.26	4.50	0.00	0.51	0.990	1.000	0.995	0.836	0.852
batch-02_epo-060	0.26	4.48	0.00	0.50	0.993	0.998	0.994	0.844	0.859
batch-02_epo-080	0.26	4.46	0.00	0.52	0.992	1.000	0.995	0.840	0.855
batch-02_epo-100	0.25	4.28	0.00	0.68	0.995	0.996	0.995	0.842	0.858
batch-04_epo-020	0.25	4.19	0.00	0.57	0.992	0.998	0.995	0.832	0.848
batch-04_epo-040	0.25	4.14	0.00	0.57	0.990	0.999	0.995	0.837	0.852
batch-04_epo-060	0.25	4.12	0.00	0.61	0.991	1.000	0.995	0.840	0.855
batch-04_epo-080	0.27	3.78	0.00	0.95	0.990	1.000	0.995	0.840	0.856
batch-04_epo-100	0.24	3.78	0.01	0.84	0.993	1.000	0.995	0.839	0.855
batch-08_epo-020	0.29	3.55	0.00	1.26	0.993	1.000	0.995	0.830	0.846
batch-08_epo-040	0.28	3.59	0.00	1.30	0.992	1.000	0.995	0.838	0.854
batch-08_epo-060	0.30	3.55	0.00	1.19	0.993	1.000	0.995	0.840	0.856
batch-08_epo-080	0.26	3.57	0.02	1.40	0.993	1.000	0.995	0.842	0.857
batch-08_epo-100	0.30	3.57	0.00	1.38	0.993	0.997	0.995	0.842	0.857
batch-16_epo-020	0.53	3.74	0.00	1.54	0.991	1.000	0.995	0.829	0.846
batch-16_epo-040	0.55	3.38	0.00	1.21	0.992	1.000	0.995	0.837	0.853
batch-16_epo-060	0.54	3.38	0.00	1.25	0.993	1.000	0.994	0.838	0.854
batch-16_epo-080	0.54	3.38	0.00	1.14	0.987	1.000	0.994	0.843	0.858
batch-16_epo-100	0.53	3.40	0.00	1.24	0.988	0.998	0.994	0.837	0.853
batch-32_epo-020	1.09	3.87	0.00	0.41	0.996	0.998	0.995	0.813	0.831
batch-32_epo-040	1.10	3.68	0.00	0.36	0.993	0.998	0.994	0.833	0.850
batch-32_epo-060	1.11	3.76	0.00	0.81	0.991	0.997	0.994	0.839	0.854
batch-32_epo-080	1.07	3.66	0.00	0.39	0.994	1.000	0.995	0.841	0.856
batch-32_epo-100	1.10	3.66	0.00	0.30	0.991	1.000	0.995	0.839	0.855
