#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	3.83	0.00	0.67	0.989	1.000	0.994	0.825	0.842
batch-02_epo-040	0.27	3.84	0.00	0.88	0.995	0.996	0.994	0.833	0.849
batch-02_epo-060	0.25	3.84	0.00	0.59	0.989	1.000	0.994	0.828	0.845
batch-02_epo-080	0.26	3.90	0.00	0.77	0.993	0.998	0.995	0.835	0.851
batch-02_epo-100	0.26	3.84	0.00	0.88	0.987	1.000	0.995	0.837	0.853
batch-04_epo-020	0.25	3.72	0.00	0.79	0.987	1.000	0.994	0.831	0.847
batch-04_epo-040	0.26	3.70	0.00	0.88	0.993	1.000	0.995	0.837	0.852
batch-04_epo-060	0.26	3.68	0.00	1.02	0.990	1.000	0.995	0.838	0.854
batch-04_epo-080	0.25	3.68	0.00	0.89	0.995	0.995	0.995	0.838	0.854
batch-04_epo-100	0.25	3.67	0.00	1.03	0.992	0.999	0.995	0.837	0.853
batch-08_epo-020	0.28	3.66	0.00	1.24	0.990	0.998	0.994	0.829	0.845
batch-08_epo-040	0.26	3.65	0.00	1.36	0.991	1.000	0.994	0.836	0.852
batch-08_epo-060	0.26	3.65	0.00	1.35	0.991	1.000	0.995	0.837	0.853
batch-08_epo-080	0.26	3.64	0.00	1.72	0.991	1.000	0.994	0.836	0.852
batch-08_epo-100	0.30	3.66	0.00	1.17	0.992	0.998	0.995	0.838	0.853
batch-16_epo-020	0.51	3.56	0.00	1.75	0.989	1.000	0.994	0.830	0.846
batch-16_epo-040	0.51	3.37	0.00	1.11	0.995	0.997	0.995	0.831	0.847
batch-16_epo-060	0.51	3.35	0.00	1.25	0.993	0.996	0.995	0.839	0.855
batch-16_epo-080	0.51	3.36	0.00	1.22	0.993	0.998	0.995	0.839	0.855
batch-16_epo-100	0.50	3.57	0.00	1.26	0.994	0.997	0.995	0.838	0.854
