#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-020	0.24	4.32	0.00	0.88	0.999	1.000	0.995	0.822	0.839
batch-04_epo-040	0.24	3.97	0.00	0.96	0.999	1.000	0.995	0.829	0.846
batch-04_epo-060	0.25	3.75	0.01	0.88	1.000	1.000	0.995	0.834	0.850
batch-04_epo-080	0.25	3.64	0.00	0.99	0.999	1.000	0.995	0.832	0.848
batch-04_epo-100	0.25	4.29	0.02	0.71	0.999	1.000	0.995	0.829	0.845
batch-08_epo-020	0.27	3.64	0.00	1.46	0.999	1.000	0.995	0.826	0.843
batch-08_epo-040	0.25	3.63	0.00	1.57	0.999	1.000	0.995	0.831	0.848
batch-08_epo-060	0.27	3.63	0.01	1.32	0.999	1.000	0.995	0.837	0.852
batch-08_epo-080	0.25	3.63	0.00	1.30	0.999	1.000	0.995	0.833	0.849
batch-08_epo-100	0.27	3.65	0.01	1.26	0.999	1.000	0.995	0.831	0.847
batch-16_epo-020	0.70	3.39	0.00	1.27	0.997	1.000	0.995	0.827	0.844
batch-16_epo-040	0.71	3.37	0.00	1.24	0.999	1.000	0.995	0.833	0.849
batch-16_epo-060	0.71	3.37	0.01	1.29	0.999	1.000	0.995	0.832	0.848
batch-16_epo-080	0.70	3.38	0.00	1.29	1.000	1.000	0.995	0.830	0.847
batch-16_epo-100	0.70	3.38	0.00	1.23	0.999	1.000	0.995	0.829	0.846
