#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	6.20	0.00	2.56	0.997	0.959	0.992	0.815	0.833
batch-02_epo-040	0.26	5.13	0.00	2.01	0.982	0.981	0.983	0.827	0.843
batch-02_epo-060	0.25	6.03	0.00	1.47	0.987	0.983	0.993	0.821	0.838
batch-02_epo-080	1.10	7.12	0.00	3.80	0.990	0.983	0.994	0.839	0.855
batch-02_epo-100	1.00	6.56	0.00	3.37	0.997	0.996	0.995	0.834	0.850
batch-04_epo-020	0.36	5.16	0.00	3.49	0.985	0.984	0.985	0.801	0.820
batch-04_epo-040	0.56	3.78	0.00	2.22	0.988	0.992	0.995	0.831	0.847
batch-04_epo-060	0.26	2.67	0.00	2.31	0.997	0.990	0.995	0.836	0.852
batch-04_epo-080	0.28	3.40	0.00	1.14	0.994	0.991	0.995	0.830	0.847
batch-04_epo-100	0.93	4.43	0.00	2.86	0.995	0.999	0.995	0.840	0.855
batch-08_epo-020	1.50	3.10	0.00	3.99	0.980	0.973	0.983	0.808	0.825
batch-08_epo-040	1.25	2.19	0.00	1.22	0.989	0.976	0.988	0.821	0.838
batch-08_epo-060	1.19	1.75	0.00	0.79	0.989	0.993	0.993	0.832	0.848
batch-08_epo-080	1.18	1.78	0.00	0.67	0.979	0.998	0.995	0.833	0.849
batch-08_epo-100	1.23	1.94	0.00	0.60	0.989	0.981	0.994	0.841	0.856
batch-10_epo-020	0.25	2.57	0.00	1.28	0.977	0.926	0.979	0.806	0.824
batch-10_epo-040	0.22	1.48	0.00	0.73	0.984	0.976	0.982	0.812	0.829
batch-10_epo-060	0.23	1.53	0.00	1.01	0.978	0.998	0.995	0.841	0.857
batch-10_epo-080	0.22	1.49	0.00	0.62	0.997	0.980	0.994	0.835	0.851
batch-10_epo-100	0.28	1.91	0.00	6.51	0.997	0.992	0.995	0.832	0.848
batch-16_epo-020	0.22	1.48	0.00	0.94	1.000	0.456	0.941	0.776	0.793
batch-16_epo-040	0.24	1.48	0.00	0.62	0.974	0.980	0.980	0.825	0.840
batch-16_epo-060	0.22	1.48	0.00	0.92	0.986	0.992	0.994	0.834	0.850
batch-16_epo-080	0.26	1.50	0.00	0.67	0.991	0.992	0.995	0.845	0.860
batch-16_epo-100	0.26	1.50	0.00	0.55	0.994	0.989	0.995	0.833	0.850
batch-20_epo-020	0.22	1.49	0.00	1.07	1.000	0.249	0.722	0.576	0.591
batch-20_epo-040	0.22	1.48	0.00	0.87	0.991	0.946	0.980	0.820	0.836
batch-20_epo-060	0.23	1.72	0.00	0.68	0.988	0.993	0.995	0.847	0.862
batch-20_epo-080	0.23	1.54	0.00	0.62	0.998	0.982	0.995	0.835	0.851
batch-20_epo-100	0.23	1.68	0.00	0.49	0.997	0.990	0.995	0.836	0.852
batch-30_epo-020	0.23	1.68	0.00	1.46	0.032	0.883	0.637	0.507	0.520
batch-30_epo-040	0.23	1.68	0.00	0.66	1.000	0.286	0.957	0.790	0.807
batch-30_epo-060	0.23	1.69	0.00	0.87	0.990	0.914	0.984	0.824	0.840
batch-30_epo-080	0.22	1.69	0.00	0.56	0.977	0.991	0.994	0.831	0.847
batch-30_epo-100	0.23	1.68	0.00	0.49	0.985	0.997	0.994	0.831	0.847
