#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	2.98	0.00	0.96	0.989	0.991	0.992	0.807	0.826
batch-02_epo-040	0.26	2.94	0.00	0.67	0.989	0.993	0.993	0.809	0.827
batch-02_epo-060	0.26	3.08	0.00	0.60	0.986	0.999	0.993	0.812	0.830
batch-02_epo-080	0.27	3.23	0.00	0.55	0.986	0.999	0.995	0.819	0.836
batch-02_epo-100	0.26	3.10	0.00	0.70	0.993	0.999	0.994	0.818	0.835
batch-04_epo-020	0.30	3.29	0.00	1.32	0.987	0.996	0.992	0.810	0.829
batch-04_epo-040	0.27	2.74	0.00	1.05	0.993	0.994	0.993	0.812	0.831
batch-04_epo-060	0.27	3.29	0.00	0.65	0.993	0.993	0.993	0.811	0.829
batch-04_epo-080	0.28	3.14	0.00	0.75	0.992	0.994	0.993	0.817	0.835
batch-04_epo-100	0.27	2.76	0.00	0.87	0.989	0.999	0.993	0.821	0.839
batch-08_epo-020	0.25	1.81	0.00	2.46	0.990	0.994	0.993	0.813	0.831
batch-08_epo-040	0.29	1.82	0.00	2.26	0.985	0.997	0.993	0.813	0.831
batch-08_epo-060	0.31	1.85	0.00	2.13	0.989	0.997	0.993	0.814	0.832
batch-08_epo-080	0.25	1.83	0.00	2.04	0.985	0.997	0.992	0.814	0.832
batch-08_epo-100	0.28	1.83	0.00	1.69	0.985	0.997	0.994	0.818	0.836
batch-16_epo-020	0.53	2.80	0.00	2.20	0.990	0.994	0.992	0.811	0.829
batch-16_epo-040	0.42	1.68	0.00	1.48	0.984	0.997	0.992	0.814	0.831
batch-16_epo-060	0.51	1.69	0.00	1.33	0.990	0.993	0.993	0.813	0.831
batch-16_epo-080	0.46	1.68	0.00	1.25	0.990	0.993	0.995	0.820	0.838
batch-16_epo-100	0.52	1.68	0.00	1.25	0.992	0.993	0.995	0.824	0.841
batch-32_epo-020	1.11	2.25	0.00	0.67	0.993	0.995	0.994	0.804	0.823
batch-32_epo-040	1.08	2.16	0.00	0.47	0.989	0.994	0.992	0.810	0.829
batch-32_epo-060	1.09	2.23	0.00	0.60	0.992	0.991	0.993	0.813	0.831
batch-32_epo-080	1.04	2.13	0.00	0.34	0.989	0.997	0.995	0.817	0.835
batch-32_epo-100	0.82	1.63	0.00	0.69	0.991	0.993	0.995	0.816	0.834
