#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	4.31	0.00	0.57	0.988	1.000	0.995	0.827	0.844
batch-02_epo-040	0.28	4.58	0.00	0.54	0.990	1.000	0.995	0.836	0.852
batch-02_epo-060	0.26	4.64	0.00	0.54	0.993	0.998	0.994	0.844	0.859
batch-02_epo-080	0.25	4.56	0.00	0.52	0.992	1.000	0.995	0.840	0.855
batch-02_epo-100	0.26	4.58	0.00	0.49	0.995	0.996	0.995	0.842	0.858
batch-04_epo-020	0.26	7.37	0.00	0.50	0.992	0.998	0.995	0.832	0.848
batch-04_epo-040	0.30	4.19	0.00	0.60	0.990	0.999	0.995	0.837	0.852
batch-04_epo-060	0.26	4.22	0.00	0.60	0.991	1.000	0.995	0.840	0.855
batch-04_epo-080	0.26	4.21	0.00	0.55	0.990	1.000	0.995	0.840	0.856
batch-04_epo-100	0.28	4.17	0.00	0.57	0.993	1.000	0.995	0.839	0.855
batch-08_epo-020	0.25	3.58	0.00	1.19	0.993	1.000	0.995	0.830	0.846
batch-08_epo-040	0.31	3.60	0.02	1.29	0.992	1.000	0.995	0.838	0.854
batch-08_epo-060	0.26	3.59	0.03	1.17	0.993	1.000	0.995	0.840	0.856
batch-08_epo-080	0.33	3.62	0.00	1.30	0.993	1.000	0.995	0.842	0.857
batch-08_epo-100	0.31	3.62	0.00	1.25	0.993	0.997	0.995	0.842	0.857
batch-16_epo-020	0.52	3.82	0.00	1.61	0.991	1.000	0.995	0.829	0.846
batch-16_epo-040	0.51	3.41	0.00	1.24	0.992	1.000	0.995	0.837	0.853
batch-16_epo-060	0.52	3.40	0.00	1.21	0.993	1.000	0.994	0.838	0.854
batch-16_epo-080	0.50	3.40	0.00	1.21	0.987	1.000	0.994	0.843	0.858
batch-16_epo-100	0.52	3.44	0.00	1.21	0.988	0.998	0.994	0.837	0.853
batch-32_epo-020	1.04	3.64	0.00	0.35	0.996	0.998	0.995	0.813	0.831
batch-32_epo-040	1.09	3.73	0.00	0.85	0.993	0.998	0.994	0.833	0.850
batch-32_epo-060	1.07	3.62	0.00	0.34	0.991	0.997	0.994	0.839	0.854
batch-32_epo-080	1.08	3.60	0.00	0.38	0.994	1.000	0.995	0.841	0.856
batch-32_epo-100	1.09	3.64	0.00	0.39	0.991	1.000	0.995	0.839	0.855
