#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	4.96	0.00	0.59	1.000	1.000	0.995	0.819	0.837
batch-02_epo-040	0.28	4.67	0.00	0.54	1.000	0.998	0.995	0.828	0.844
batch-02_epo-060	0.28	4.80	0.00	0.61	0.999	1.000	0.995	0.833	0.850
batch-02_epo-080	0.27	4.70	0.00	0.58	0.999	1.000	0.995	0.833	0.850
batch-02_epo-100	0.26	4.64	0.00	0.52	0.999	1.000	0.995	0.836	0.852
batch-04_epo-020	0.28	4.41	0.00	0.57	0.999	1.000	0.995	0.822	0.839
batch-04_epo-040	0.26	4.26	0.00	0.66	1.000	1.000	0.995	0.836	0.852
batch-04_epo-060	0.28	4.33	0.00	0.57	1.000	1.000	0.995	0.834	0.850
batch-04_epo-080	0.28	4.40	0.00	0.61	0.999	1.000	0.995	0.839	0.855
batch-04_epo-100	0.26	4.36	0.00	0.60	0.998	1.000	0.995	0.836	0.851
batch-08_epo-020	0.30	3.58	0.00	1.47	0.999	1.000	0.995	0.823	0.840
batch-08_epo-040	0.27	3.79	0.00	1.40	0.999	1.000	0.995	0.832	0.848
batch-08_epo-060	0.30	3.61	0.00	1.41	1.000	1.000	0.995	0.836	0.852
batch-08_epo-080	0.28	3.64	0.00	1.36	0.999	1.000	0.995	0.837	0.852
batch-08_epo-100	0.30	3.59	0.00	1.36	0.999	1.000	0.995	0.834	0.850
batch-16_epo-020	0.77	3.46	0.00	1.27	0.999	1.000	0.995	0.820	0.838
batch-16_epo-040	0.76	3.45	0.00	1.34	0.999	1.000	0.995	0.832	0.849
batch-16_epo-060	0.79	3.46	0.00	1.66	0.999	1.000	0.995	0.832	0.849
batch-16_epo-080	0.75	3.46	0.00	1.27	0.999	1.000	0.995	0.833	0.849
batch-16_epo-100	0.70	3.45	0.00	1.32	0.999	1.000	0.995	0.832	0.848
batch-32_epo-020	1.42	4.08	0.00	0.44	0.999	1.000	0.995	0.818	0.835
batch-32_epo-040	1.34	4.10	0.00	0.41	1.000	1.000	0.995	0.829	0.846
batch-32_epo-060	1.37	4.08	0.00	0.34	0.999	1.000	0.995	0.838	0.854
batch-32_epo-080	1.41	4.21	0.00	0.41	0.999	1.000	0.995	0.836	0.852
batch-32_epo-100	1.36	4.00	0.00	0.35	0.999	1.000	0.995	0.830	0.847
