#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.53	2.31	0.02	1.70	0.985	0.996	0.992	0.812	0.830
batch-02_epo-040	0.30	2.13	0.00	1.22	0.989	0.999	0.993	0.814	0.832
batch-02_epo-060	0.29	2.41	0.00	0.93	0.996	0.996	0.993	0.816	0.834
batch-02_epo-080	0.27	2.06	0.00	0.90	0.987	1.000	0.994	0.822	0.839
batch-02_epo-100	0.27	2.53	0.00	0.67	0.995	0.995	0.994	0.827	0.843
batch-04_epo-020	0.26	2.19	0.00	1.32	0.986	0.999	0.992	0.821	0.838
batch-04_epo-040	0.27	2.06	0.00	1.39	0.985	1.000	0.993	0.814	0.832
batch-04_epo-060	0.28	2.11	0.00	1.30	0.991	0.999	0.993	0.815	0.833
batch-04_epo-080	0.35	2.03	0.02	1.49	0.994	0.995	0.994	0.823	0.840
batch-04_epo-100	0.46	2.37	0.00	1.36	0.993	0.991	0.992	0.826	0.843
batch-08_epo-020	0.36	1.56	0.00	2.39	0.990	0.997	0.993	0.813	0.831
batch-08_epo-040	0.33	1.79	0.03	2.03	0.989	0.998	0.994	0.816	0.834
batch-08_epo-060	0.33	1.77	0.00	1.98	0.990	1.000	0.993	0.822	0.839
batch-08_epo-080	0.35	1.78	0.00	2.18	0.994	0.998	0.993	0.829	0.846
batch-08_epo-100	0.49	1.94	0.00	2.04	0.990	0.999	0.994	0.823	0.840
batch-16_epo-020	0.53	2.06	0.00	2.05	0.986	0.997	0.993	0.816	0.834
batch-16_epo-040	0.54	1.64	0.00	1.59	0.991	1.000	0.993	0.814	0.832
batch-16_epo-060	0.50	1.63	0.00	1.56	0.992	0.997	0.994	0.820	0.838
batch-16_epo-080	0.51	1.48	0.00	1.47	0.989	1.000	0.994	0.826	0.842
batch-16_epo-100	0.51	1.48	0.00	1.26	0.991	1.000	0.994	0.824	0.841
batch-32_epo-020	1.10	2.34	0.00	1.81	0.986	0.999	0.994	0.813	0.831
batch-32_epo-040	1.14	2.28	0.00	0.81	0.989	1.000	0.994	0.814	0.832
batch-32_epo-060	1.08	2.08	0.00	0.41	0.989	0.999	0.993	0.820	0.837
batch-32_epo-080	1.04	2.13	0.00	0.30	0.994	0.998	0.993	0.822	0.839
batch-32_epo-100	1.00	2.29	0.00	0.31	0.991	1.000	0.993	0.820	0.837
