#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.29	2.83	0.00	0.82	0.997	1.000	0.995	0.805	0.824
batch-02_epo-040	0.26	2.40	0.00	0.95	0.998	1.000	0.995	0.812	0.830
batch-02_epo-060	0.28	2.44	0.00	0.98	0.998	1.000	0.995	0.821	0.838
batch-02_epo-080	0.28	2.40	0.00	0.85	0.999	1.000	0.995	0.821	0.838
batch-02_epo-100	0.28	2.33	0.00	0.85	0.998	0.998	0.995	0.828	0.844
batch-04_epo-020	0.29	2.77	0.00	1.28	0.997	1.000	0.995	0.809	0.828
batch-04_epo-040	0.25	2.10	0.00	1.51	0.997	1.000	0.995	0.810	0.828
batch-04_epo-060	0.27	2.24	0.00	1.19	0.999	1.000	0.995	0.814	0.832
batch-04_epo-080	0.27	2.38	0.00	1.15	0.999	1.000	0.995	0.819	0.836
batch-04_epo-100	0.32	2.50	0.00	1.03	0.996	1.000	0.995	0.821	0.838
batch-08_epo-020	0.26	1.76	0.00	2.61	0.995	1.000	0.995	0.809	0.828
batch-08_epo-040	0.25	1.80	0.01	2.52	0.999	1.000	0.995	0.810	0.829
batch-08_epo-060	0.27	1.77	0.00	1.74	0.999	1.000	0.995	0.811	0.829
batch-08_epo-080	0.23	1.74	0.01	2.13	0.999	0.998	0.995	0.821	0.839
batch-08_epo-100	0.29	1.77	0.00	1.74	0.996	0.998	0.995	0.822	0.839
batch-16_epo-020	0.71	1.69	0.00	1.65	0.999	1.000	0.995	0.801	0.820
batch-16_epo-040	0.66	1.67	0.00	1.61	0.999	1.000	0.995	0.814	0.832
batch-16_epo-060	0.71	1.67	0.01	1.41	0.996	0.999	0.995	0.814	0.832
batch-16_epo-080	0.74	1.69	0.00	1.34	0.998	1.000	0.995	0.817	0.835
batch-16_epo-100	0.70	1.68	0.00	1.30	0.997	1.000	0.995	0.818	0.835
batch-32_epo-020	1.29	2.38	0.00	0.81	0.990	0.998	0.995	0.799	0.819
batch-32_epo-040	1.32	2.43	0.00	0.59	0.995	1.000	0.995	0.806	0.825
batch-32_epo-060	1.45	2.52	0.00	0.45	0.999	1.000	0.995	0.807	0.826
batch-32_epo-080	1.33	2.28	0.00	0.48	0.999	0.998	0.995	0.815	0.833
batch-32_epo-100	1.28	2.45	0.00	0.39	0.999	1.000	0.995	0.816	0.834
