#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	3.96	0.00	0.85	0.989	1.000	0.994	0.825	0.842
batch-02_epo-040	0.25	3.89	0.00	0.89	0.995	0.996	0.994	0.833	0.849
batch-02_epo-060	0.26	3.89	0.00	0.80	0.989	1.000	0.994	0.828	0.845
batch-02_epo-080	0.26	3.94	0.00	0.88	0.993	0.998	0.995	0.835	0.851
batch-02_epo-100	0.25	3.89	0.00	0.89	0.987	1.000	0.995	0.837	0.853
batch-04_epo-020	0.27	3.82	0.00	0.80	0.987	1.000	0.994	0.831	0.847
batch-04_epo-040	0.29	3.84	0.00	0.94	0.993	1.000	0.995	0.837	0.852
batch-04_epo-060	0.27	3.83	0.00	0.80	0.990	1.000	0.995	0.838	0.854
batch-04_epo-080	0.26	3.76	0.00	0.85	0.995	0.995	0.995	0.838	0.854
batch-04_epo-100	0.28	3.76	0.00	0.87	0.992	0.999	0.995	0.837	0.853
batch-08_epo-020	0.32	3.74	0.00	1.59	0.990	0.998	0.994	0.829	0.845
batch-08_epo-040	0.28	3.89	0.00	1.22	0.991	1.000	0.994	0.836	0.852
batch-08_epo-060	0.31	4.06	0.01	2.08	0.991	1.000	0.995	0.837	0.853
batch-08_epo-080	0.34	4.18	0.00	2.73	0.991	1.000	0.994	0.836	0.852
batch-08_epo-100	0.75	4.35	0.00	2.54	0.992	0.998	0.995	0.838	0.853
batch-16_epo-020	0.61	4.21	0.00	2.81	0.989	1.000	0.994	0.830	0.846
batch-16_epo-040	0.57	3.63	0.00	1.17	0.995	0.997	0.995	0.831	0.847
batch-16_epo-060	0.51	3.45	0.00	1.16	0.993	0.996	0.995	0.839	0.855
batch-16_epo-080	0.48	3.42	0.00	1.29	0.993	0.998	0.995	0.839	0.855
batch-16_epo-100	0.49	3.49	0.00	1.41	0.994	0.997	0.995	0.838	0.854
batch-32_epo-020	1.21	3.61	0.00	0.31	0.991	1.000	0.993	0.816	0.833
batch-32_epo-040	1.02	3.70	0.00	0.51	0.991	0.998	0.994	0.831	0.848
batch-32_epo-060	1.12	3.63	0.00	1.11	0.992	0.998	0.994	0.833	0.849
batch-32_epo-080	1.10	3.86	0.00	1.33	0.996	0.997	0.994	0.837	0.852
batch-32_epo-100	1.08	3.66	0.00	0.59	0.989	0.999	0.995	0.833	0.849
