epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62557,1.20373,3.53255,1.01671,0.00571,0.17937,0.01553,0.01162,0.77587,3.69421,0.98031,0.00034296,0.00034296,0.00034296
2,5.24846,1.05839,3.23722,1.00105,0.02258,0.67143,0.05791,0.03983,0.87633,3.6531,0.99232,0.00066555,0.00066555,0.00066555
3,6.90792,1.00342,2.57825,0.98712,0.01879,0.56548,0.11667,0.08829,0.89937,3.40291,0.96869,0.000952771,0.000952771,0.000952771
4,8.51788,1.011,2.15695,0.97822,0.43672,0.36508,0.38342,0.24128,1.00132,2.5412,0.95182,0.00120463,0.00120463,0.00120463
5,10.1528,1.05124,1.96732,0.98415,0.49145,0.66385,0.66249,0.44616,1.08995,1.89007,0.97457,0.00114606,0.00114606,0.00114606
6,11.8034,1.09658,1.73591,1.02732,0.59803,0.76848,0.76188,0.57261,0.95808,1.4625,0.94957,0.00107532,0.00107532,0.00107532
7,13.4531,0.99714,1.65552,0.98319,0.67473,0.8066,0.75243,0.55827,0.94583,1.41886,0.97334,0.00100459,0.00100459,0.00100459
8,15.0582,0.98565,1.41824,1.01813,0.67473,0.8066,0.75243,0.55827,0.94583,1.41886,0.97334,0.000933851,0.000933851,0.000933851
9,16.6988,0.90739,1.25975,0.96014,0.7946,0.82507,0.83769,0.64144,0.87435,1.20466,0.94449,0.000863116,0.000863116,0.000863116
10,18.3169,0.86558,1.31724,0.98132,0.87307,0.93342,0.92559,0.71983,0.83851,1.01947,0.92769,0.00079238,0.00079238,0.00079238
11,19.9328,0.83376,1.01958,0.93007,0.92959,0.94146,0.97496,0.7874,0.79259,0.85503,0.92019,0.000721645,0.000721645,0.000721645
12,21.5279,0.79608,0.91861,0.9203,0.92959,0.94146,0.97496,0.7874,0.79259,0.85503,0.92019,0.000650909,0.000650909,0.000650909
13,23.1073,0.79006,0.91136,0.94549,0.95329,0.94195,0.97735,0.78337,0.77642,0.82378,0.92038,0.000580174,0.000580174,0.000580174
14,24.669,0.79087,0.87435,0.91176,0.98166,0.92703,0.9755,0.79127,0.74802,0.78023,0.91435,0.000509438,0.000509438,0.000509438
15,26.2448,0.76683,0.82756,0.93967,0.99717,0.95946,0.98256,0.80794,0.73681,0.71422,0.91215,0.000438703,0.000438703,0.000438703
16,27.8412,0.76699,0.82791,0.91312,0.99679,0.95891,0.99249,0.818,0.74256,0.69201,0.91331,0.000367967,0.000367967,0.000367967
17,29.4201,0.739,0.77644,0.92778,0.99679,0.95891,0.99249,0.818,0.74256,0.69201,0.91331,0.000297232,0.000297232,0.000297232
18,31.0332,0.74958,0.78681,0.90588,0.98408,0.98124,0.99126,0.81459,0.73902,0.66439,0.91189,0.000226497,0.000226497,0.000226497
19,32.6296,0.70851,0.7299,0.92619,0.99327,0.97148,0.98579,0.80883,0.73469,0.65493,0.91055,0.000155761,0.000155761,0.000155761
20,34.2056,0.72718,0.72371,0.93111,0.99458,0.97169,0.98211,0.81215,0.72762,0.65357,0.90981,8.50255e-05,8.50255e-05,8.50255e-05
