epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27777,1.39135,3.35635,1.2549,0.72779,0.1746,0.08342,0.04404,1.65786,4.89449,1.40094,5.716e-05,5.716e-05,5.716e-05
2,3.46043,1.37459,3.34253,1.2317,0.49743,0.40604,0.42617,0.26915,1.35378,3.68347,1.29356,0.000127337,0.000127337,0.000127337
3,4.70796,0.99794,1.97197,1.11043,0.66726,0.73607,0.74797,0.53929,0.97825,2.65754,1.07938,0.000196099,0.000196099,0.000196099
4,5.92323,0.88639,1.25308,1.03505,0.90508,0.8549,0.90134,0.68846,0.91844,1.48463,1.07141,0.000263446,0.000263446,0.000263446
5,7.19441,0.80398,0.96399,0.98728,0.92673,0.88619,0.94187,0.72814,0.88684,1.48684,1.03077,0.000329379,0.000329379,0.000329379
6,8.3928,0.79537,0.81289,0.94268,0.91825,0.83492,0.89812,0.68721,0.85123,1.44753,1.03061,0.000393897,0.000393897,0.000393897
7,9.55177,0.80469,0.76425,0.95877,0.6616,0.88413,0.71505,0.55746,0.87498,2.33803,1.04794,0.000457,0.000457,0.000457
8,10.7116,0.79633,0.72618,0.97572,0.70982,0.88268,0.8361,0.68096,0.77692,2.13579,0.96121,0.000518688,0.000518688,0.000518688
9,11.8691,0.76255,0.68514,0.93495,0.70955,0.87187,0.76308,0.61665,0.79761,2.07341,0.9899,0.000578962,0.000578962,0.000578962
10,13.0036,0.77983,0.66561,0.98093,0.61837,0.89259,0.65951,0.53329,0.7391,1.70551,0.95355,0.000637821,0.000637821,0.000637821
11,14.1073,0.75757,0.61561,0.93784,0.90339,0.97159,0.9736,0.78929,0.75508,0.69639,0.97003,0.000695266,0.000695266,0.000695266
12,15.2357,0.73721,0.55884,0.94141,0.99029,0.96394,0.99077,0.79246,0.75799,0.60898,0.9751,0.000751295,0.000751295,0.000751295
13,16.3715,0.7585,0.59789,0.97901,0.98815,0.95913,0.99155,0.8079,0.72365,0.55239,0.95192,0.00080591,0.00080591,0.00080591
