epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.512,1.12277,1.68826,0.9554,0.98246,0.97614,0.99472,0.75802,0.88365,0.70791,0.91104,0.000464715,0.000464715,0.000464715
2,9.22385,0.97406,0.70988,0.9326,0.7324,0.89916,0.81291,0.62287,0.86032,1.38644,0.92079,0.000929403,0.000929403,0.000929403
3,12.8595,0.9497,0.75093,0.93062,0.98266,0.99797,0.99458,0.74385,0.92713,0.67049,0.93969,0.0013823,0.0013823,0.0013823
4,16.4762,1.01929,0.66497,0.95774,0.96708,0.9735,0.99294,0.7431,0.92149,0.65056,0.96078,0.00137595,0.00137595,0.00137595
5,20.0759,0.95252,0.60329,0.93071,0.99206,0.99333,0.995,0.77299,0.84025,0.53123,0.90664,0.00135826,0.00135826,0.00135826
6,23.7624,0.94749,0.54263,0.93949,0.98816,0.99893,0.995,0.78246,0.81539,0.46802,0.89711,0.00134058,0.00134058,0.00134058
7,27.4284,0.89999,0.51895,0.91422,0.9957,0.99863,0.995,0.78922,0.82058,0.42456,0.90908,0.0013229,0.0013229,0.0013229
8,31.0874,0.8779,0.47982,0.92112,0.99229,0.99781,0.99421,0.77987,0.82314,0.44478,0.90185,0.00130521,0.00130521,0.00130521
9,34.6945,0.89169,0.4814,0.9207,0.99615,0.99808,0.99487,0.78765,0.80804,0.42609,0.90139,0.00128753,0.00128753,0.00128753
10,38.3042,0.8736,0.47882,0.91375,0.99608,0.99781,0.995,0.78604,0.81744,0.43011,0.90265,0.00126985,0.00126985,0.00126985
11,41.9188,0.85643,0.44696,0.89746,0.9931,0.99696,0.995,0.80547,0.7964,0.40039,0.89691,0.00125216,0.00125216,0.00125216
12,45.5703,0.8444,0.44366,0.90049,0.99536,0.99805,0.995,0.7971,0.80434,0.39694,0.90302,0.00123448,0.00123448,0.00123448
13,49.1714,0.84271,0.43529,0.90102,0.99922,0.99981,0.995,0.81048,0.78009,0.38491,0.89479,0.00121679,0.00121679,0.00121679
14,52.7964,0.85546,0.42771,0.90115,0.99746,0.99963,0.995,0.7845,0.84421,0.38908,0.91849,0.00119911,0.00119911,0.00119911
15,56.4004,0.83945,0.42575,0.89842,0.99704,0.99934,0.995,0.79477,0.79386,0.3839,0.90319,0.00118143,0.00118143,0.00118143
16,59.9596,0.84246,0.43232,0.90942,0.99845,0.99748,0.995,0.79813,0.79965,0.37883,0.90419,0.00116374,0.00116374,0.00116374
17,63.533,0.84092,0.42827,0.90024,0.99664,0.99955,0.995,0.80599,0.80193,0.37626,0.90258,0.00114606,0.00114606,0.00114606
18,67.0979,0.83521,0.4227,0.89304,0.99916,0.99969,0.995,0.80696,0.79356,0.36816,0.89956,0.00112837,0.00112837,0.00112837
19,70.6494,0.85759,0.42515,0.90553,0.99919,1,0.995,0.80184,0.79115,0.36795,0.89988,0.00111069,0.00111069,0.00111069
20,74.1976,0.84032,0.41302,0.90192,0.99943,0.99995,0.995,0.80718,0.77271,0.36948,0.89456,0.00109301,0.00109301,0.00109301
21,77.8349,0.84116,0.41488,0.90362,0.99914,1,0.995,0.81297,0.77961,0.35488,0.89697,0.00107532,0.00107532,0.00107532
22,81.4432,0.81987,0.40645,0.90162,0.99836,0.99958,0.995,0.80611,0.78413,0.35164,0.89712,0.00105764,0.00105764,0.00105764
23,85.0436,0.81748,0.39356,0.88137,0.99845,0.99962,0.995,0.81103,0.77679,0.36507,0.89872,0.00103995,0.00103995,0.00103995
24,88.6414,0.8082,0.40473,0.89858,0.99882,0.99986,0.995,0.80939,0.79267,0.36158,0.90287,0.00102227,0.00102227,0.00102227
25,92.2051,0.80573,0.39235,0.89555,0.99947,1,0.995,0.82028,0.77249,0.35083,0.89779,0.00100459,0.00100459,0.00100459
26,95.8462,0.80216,0.38731,0.90193,0.99944,1,0.995,0.81577,0.77549,0.34494,0.89992,0.000986903,0.000986903,0.000986903
27,99.4384,0.81077,0.39397,0.89036,0.9992,1,0.995,0.81424,0.77869,0.35994,0.9002,0.000969219,0.000969219,0.000969219
28,103.029,0.83161,0.39803,0.91734,0.99935,1,0.995,0.80706,0.776,0.34496,0.90222,0.000951535,0.000951535,0.000951535
29,106.619,0.814,0.39438,0.88589,0.99917,1,0.995,0.81293,0.77124,0.33889,0.9009,0.000933851,0.000933851,0.000933851
30,110.155,0.81097,0.38002,0.88531,0.99952,1,0.995,0.82032,0.76662,0.33614,0.89592,0.000916168,0.000916168,0.000916168
31,113.754,0.81543,0.38693,0.8955,0.99948,1,0.995,0.8226,0.7754,0.33631,0.89808,0.000898484,0.000898484,0.000898484
32,117.357,0.80847,0.37379,0.90892,0.99955,1,0.995,0.82084,0.7631,0.33145,0.89439,0.0008808,0.0008808,0.0008808
33,120.967,0.82144,0.38379,0.89591,0.99894,1,0.995,0.82312,0.7749,0.34094,0.89742,0.000863116,0.000863116,0.000863116
34,124.588,0.81527,0.38038,0.89572,0.99947,1,0.995,0.81261,0.7887,0.34017,0.90217,0.000845432,0.000845432,0.000845432
35,128.227,0.80264,0.3787,0.8903,0.99921,1,0.995,0.82164,0.77493,0.33578,0.89265,0.000827748,0.000827748,0.000827748
36,131.805,0.78661,0.36975,0.89776,0.99931,1,0.995,0.82126,0.762,0.32793,0.89197,0.000810064,0.000810064,0.000810064
37,135.402,0.80301,0.37381,0.89763,0.99943,1,0.995,0.81405,0.77805,0.33532,0.89773,0.00079238,0.00079238,0.00079238
38,138.982,0.80343,0.3735,0.8936,0.99946,1,0.995,0.81857,0.75916,0.33348,0.89505,0.000774697,0.000774697,0.000774697
39,142.536,0.79737,0.37556,0.89059,0.99946,1,0.995,0.82445,0.75978,0.32532,0.89491,0.000757013,0.000757013,0.000757013
40,146.138,0.80338,0.37073,0.88373,0.9991,1,0.995,0.81728,0.76899,0.33321,0.89944,0.000739329,0.000739329,0.000739329
