epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16351,1.31045,3.86246,0.99243,0.00023,0.00658,0.00012,6e-05,1.32606,3.68325,0.97854,7.145e-05,7.145e-05,7.145e-05
2,6.79125,1.1714,3.66161,0.96455,0.01059,0.3136,0.15832,0.09611,1.05677,3.56109,0.88156,0.000154596,0.000154596,0.000154596
3,9.40163,1.03285,2.12579,0.91188,0.03494,0.82895,0.61387,0.37747,1.00576,3.17082,0.88361,0.000234913,0.000234913,0.000234913
4,11.9933,0.98536,1.30218,0.91317,0.0319,0.78509,0.71771,0.48228,0.94153,3.10944,0.87153,0.000312401,0.000312401,0.000312401
5,14.5961,0.96723,1.03528,0.91067,0.03125,0.7807,0.7017,0.48181,0.93681,3.00257,0.9005,0.000387059,0.000387059,0.000387059
6,17.1729,0.98727,0.895,0.94995,0.02798,0.70175,0.45662,0.33225,0.90727,3.17738,0.88593,0.000458888,0.000458888,0.000458888
7,19.7085,0.92648,0.78612,0.91038,0.0369,0.91009,0.86117,0.63887,0.88691,2.74728,0.91013,0.000527887,0.000527887,0.000527887
8,22.3136,0.89722,0.74467,0.92438,0.03166,0.72807,0.62751,0.48315,0.88823,3.04556,0.88589,0.000594057,0.000594057,0.000594057
9,24.9196,0.92644,0.77416,0.91489,0.03781,0.91447,0.85437,0.66306,0.89852,2.73513,0.91056,0.000657397,0.000657397,0.000657397
10,27.5575,0.88866,0.73025,0.91868,0.03761,0.9057,0.86993,0.67719,0.84323,2.65391,0.89546,0.000717908,0.000717908,0.000717908
11,30.1373,0.87631,0.66777,0.89949,0.93629,0.72833,0.9154,0.70292,0.8474,2.46365,0.89682,0.00077559,0.00077559,0.00077559
12,32.6882,0.87084,0.63883,0.90451,0.9973,0.56592,0.93,0.71214,0.86706,2.16889,0.90064,0.000830442,0.000830442,0.000830442
13,35.2809,0.85493,0.62037,0.8935,0.9975,0.66672,0.99179,0.7775,0.82628,1.91105,0.88852,0.000882465,0.000882465,0.000882465
14,37.7745,0.87522,0.60551,0.89013,0.99761,0.80346,0.99416,0.75887,0.87087,1.68523,0.90196,0.000931658,0.000931658,0.000931658
15,40.2584,0.8337,0.58509,0.8871,1,0.75467,0.99476,0.77063,0.8549,1.73815,0.89823,0.000978022,0.000978022,0.000978022
16,42.8225,0.83646,0.57425,0.89056,0.99152,0.99451,0.99359,0.77168,0.8479,1.15523,0.89926,0.00102156,0.00102156,0.00102156
17,45.2857,0.85581,0.57595,0.90353,0.99338,0.99334,0.99418,0.79511,0.79894,1.19153,0.88594,0.00105174,0.00105174,0.00105174
18,47.8436,0.85063,0.56189,0.89183,0.9993,0.99868,0.995,0.79298,0.80204,0.95253,0.88988,0.00102817,0.00102817,0.00102817
19,50.3217,0.82646,0.55602,0.88598,0.99591,1,0.995,0.77178,0.83848,1.01391,0.90743,0.00100459,0.00100459,0.00100459
20,52.8016,0.87442,0.5993,0.89533,0.99627,0.99697,0.995,0.78913,0.80786,0.70516,0.89422,0.000981008,0.000981008,0.000981008
21,55.3741,0.83441,0.52788,0.8946,0.99649,1,0.995,0.80457,0.76731,0.68625,0.88086,0.00095743,0.00095743,0.00095743
22,57.9035,0.83761,0.55138,0.89199,0.99551,0.99964,0.995,0.79461,0.78298,0.60145,0.88517,0.000933851,0.000933851,0.000933851
23,60.4714,0.80073,0.5033,0.87085,0.99485,0.99868,0.995,0.79492,0.77608,0.5125,0.8893,0.000910273,0.000910273,0.000910273
24,63.013,0.82064,0.52486,0.90171,0.99377,1,0.99456,0.7722,0.85369,0.68193,0.90193,0.000886694,0.000886694,0.000886694
25,65.5276,0.8501,0.54959,0.89192,0.99671,0.99972,0.99467,0.78615,0.82944,0.47543,0.90499,0.000863116,0.000863116,0.000863116
26,68.0962,0.847,0.58775,0.90128,0.99606,0.9986,0.995,0.74236,0.94234,0.48931,0.94294,0.000839537,0.000839537,0.000839537
27,70.5686,0.8567,0.54208,0.89174,0.9965,0.99893,0.99472,0.78775,0.80124,0.51507,0.89585,0.000815959,0.000815959,0.000815959
28,73.1108,0.84047,0.52679,0.89844,0.99655,1,0.9945,0.77888,0.84378,0.44952,0.91067,0.00079238,0.00079238,0.00079238
29,75.7014,0.86761,0.56103,0.8878,0.99262,0.99898,0.99459,0.78619,0.80874,0.45785,0.9,0.000768802,0.000768802,0.000768802
30,78.1761,0.84505,0.50179,0.87876,0.99667,0.99692,0.9945,0.78652,0.7955,0.44329,0.89192,0.000745223,0.000745223,0.000745223
31,80.716,0.80782,0.48434,0.87084,0.99454,0.99447,0.9948,0.79607,0.78092,0.42235,0.88945,0.000721645,0.000721645,0.000721645
