epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50598,1.19668,3.54226,1.01754,0.00529,0.14008,0.00429,0.00252,1.34582,3.55181,1.08057,1.429e-05,1.429e-05,1.429e-05
2,3.39565,1.17037,3.54986,0.99808,0.00508,0.13175,0.00401,0.00238,1.3417,3.54981,1.07725,4.1809e-05,4.1809e-05,4.1809e-05
3,4.27025,1.1438,3.49619,1.0176,0.00483,0.11508,0.00448,0.00302,1.17078,3.52264,1.01407,6.79132e-05,6.79132e-05,6.79132e-05
4,5.18912,1.02959,3.45874,0.97875,0.00712,0.14762,0.01609,0.00929,0.99134,3.49033,0.95325,9.26028e-05,9.26028e-05,9.26028e-05
5,6.12393,0.8723,3.33558,0.91728,0.01297,0.26429,0.08755,0.06387,0.84076,3.44114,0.89283,0.000115878,0.000115878,0.000115878
6,7.04496,0.87562,3.03773,0.90921,0.02704,0.56786,0.24322,0.16214,0.92363,3.31915,0.87699,0.000137738,0.000137738,0.000137738
7,7.97215,0.85435,2.79146,0.90045,0.03701,0.87738,0.35335,0.22763,0.8907,3.22372,0.86285,0.000158183,0.000158183,0.000158183
8,8.88757,0.87064,2.50689,0.90506,0.03778,0.93492,0.46982,0.32272,0.79934,3.15967,0.84808,0.000177214,0.000177214,0.000177214
9,9.81198,0.8316,2.17993,0.90028,0.03609,0.93492,0.51011,0.33751,0.85002,3.14917,0.85902,0.00019483,0.00019483,0.00019483
10,10.7371,0.8411,1.87824,0.90139,0.03497,0.91825,0.52903,0.37007,0.84312,3.12095,0.85833,0.000211031,0.000211031,0.000211031
11,11.656,0.80926,1.68807,0.88877,0.03433,0.89325,0.51722,0.36975,0.85054,3.10428,0.86395,0.000225818,0.000225818,0.000225818
12,12.564,0.82669,1.45532,0.90228,0.03297,0.89325,0.52019,0.34413,0.93727,3.11595,0.87915,0.00023919,0.00023919,0.00023919
13,13.46,0.82327,1.22052,0.91527,0.03386,0.91667,0.54945,0.40285,0.80546,3.07671,0.8506,0.000251147,0.000251147,0.000251147
14,14.368,0.87102,1.19379,0.9079,0.03279,0.86746,0.58551,0.45045,0.80896,3.06657,0.85311,0.000261689,0.000261689,0.000261689
15,15.2854,0.83088,1.03603,0.91659,0.02903,0.79405,0.58698,0.43789,0.87194,3.09025,0.86652,0.000270817,0.000270817,0.000270817
16,16.1961,0.82556,0.96568,0.92023,0.02766,0.78571,0.63332,0.48406,0.80127,3.07876,0.85744,0.00027853,0.00027853,0.00027853
17,17.107,0.78439,0.85382,0.92261,0.02699,0.78571,0.66689,0.51773,0.78693,3.03594,0.85372,0.000284828,0.000284828,0.000284828
18,18.0202,0.77429,0.82234,0.90909,0.02436,0.72976,0.63494,0.49306,0.8169,3.0142,0.86432,0.000289712,0.000289712,0.000289712
19,18.9329,0.77124,0.81034,0.92764,0.02485,0.75397,0.64837,0.49467,0.79879,2.97624,0.86219,0.000293181,0.000293181,0.000293181
20,19.8457,0.75327,0.77813,0.9125,0.02612,0.77976,0.67945,0.51921,0.77327,2.91635,0.85559,0.000295235,0.000295235,0.000295235
21,20.7709,0.75814,0.74957,0.90017,0.02656,0.7881,0.68095,0.531,0.79614,2.89331,0.86073,0.000295874,0.000295874,0.000295874
22,21.6968,0.75805,0.72193,0.8988,0.02666,0.79643,0.65748,0.51232,0.80981,2.88028,0.86728,0.000295099,0.000295099,0.000295099
23,22.5932,0.73168,0.7042,0.88767,0.02639,0.7881,0.6487,0.51151,0.80399,2.86944,0.86737,0.000292909,0.000292909,0.000292909
24,23.4899,0.75615,0.69367,0.89599,0.02668,0.79643,0.65778,0.5355,0.74995,2.82988,0.85782,0.000289305,0.000289305,0.000289305
25,24.3972,0.74174,0.67955,0.8891,0.02737,0.8131,0.66968,0.55117,0.72747,2.79094,0.85148,0.000284285,0.000284285,0.000284285
