epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46204,1.36151,3.36045,1.14395,0.03744,0.47817,0.04477,0.02577,1.42165,3.63184,1.2535,0.00034296,0.00034296,0.00034296
2,5.16352,1.3299,3.38202,1.14098,0.03922,0.52659,0.0476,0.02826,1.4096,3.59718,1.22903,0.00066555,0.00066555,0.00066555
3,6.83072,1.35788,3.27643,1.19384,0.02957,0.49246,0.04054,0.02551,1.36155,3.60227,1.19232,0.000952771,0.000952771,0.000952771
4,8.60728,2.12571,6.93758,1.64393,0.20778,0.68294,0.18568,0.06987,1.89939,64.1629,1.71824,0.00120463,0.00120463,0.00120463
5,10.4572,2.11832,5.81681,1.59169,0.03376,0.06667,0.02332,0.00944,2.19643,45.2394,1.85961,0.00114606,0.00114606,0.00114606
6,12.1856,1.87634,3.29981,1.45188,0.02741,0.275,0.03361,0.0193,1.51625,83.5142,1.37618,0.00107532,0.00107532,0.00107532
7,13.9247,1.56624,3.04681,1.28296,0.04257,0.45119,0.04802,0.03048,1.36432,44.4719,1.26953,0.00100459,0.00100459,0.00100459
8,15.6747,1.43461,2.15247,1.21016,0.04257,0.45119,0.04802,0.03048,1.36432,44.4719,1.26953,0.000933851,0.000933851,0.000933851
9,17.4141,1.19608,1.84055,1.10077,0.42389,0.57741,0.29681,0.22174,1.00456,5.90521,1.04435,0.000863116,0.000863116,0.000863116
10,19.2042,1.19128,1.80384,1.13429,0.33881,0.58576,0.26619,0.17499,1.04284,33.7735,1.09762,0.00079238,0.00079238,0.00079238
11,20.9689,1.00751,1.27332,1.02531,0.36976,0.77738,0.3969,0.2959,0.87159,22.2567,1.03244,0.000721645,0.000721645,0.000721645
12,22.6969,0.86452,1.05218,0.97921,0.36976,0.77738,0.3969,0.2959,0.87159,22.2567,1.03244,0.000650909,0.000650909,0.000650909
13,24.4271,0.88495,0.96758,0.96734,0.62683,0.89295,0.70602,0.52972,0.8855,1.43953,0.99661,0.000580174,0.000580174,0.000580174
14,26.1803,0.87625,0.89564,0.94488,0.56089,0.85885,0.56593,0.43958,0.84257,6.74522,0.9806,0.000509438,0.000509438,0.000509438
15,27.889,0.84474,0.79839,0.94587,0.45716,0.88492,0.53058,0.41672,0.79851,9.44923,0.96571,0.000438703,0.000438703,0.000438703
16,29.5894,0.82863,0.77436,0.93764,0.77559,0.90443,0.831,0.66036,0.77608,1.62241,0.9482,0.000367967,0.000367967,0.000367967
17,31.3128,0.78456,0.6939,0.93451,0.77559,0.90443,0.831,0.66036,0.77608,1.62241,0.9482,0.000297232,0.000297232,0.000297232
18,33.05,0.79515,0.69701,0.92006,0.91173,0.95763,0.97517,0.78016,0.76475,0.79083,0.94586,0.000226497,0.000226497,0.000226497
19,34.7865,0.7646,0.63441,0.92119,0.97326,0.96743,0.9808,0.78505,0.76505,0.642,0.94145,0.000155761,0.000155761,0.000155761
20,36.5584,0.76754,0.63131,0.92474,0.9688,0.9719,0.98084,0.78858,0.75719,0.62821,0.93962,8.50255e-05,8.50255e-05,8.50255e-05
