epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85088,1.20194,3.62463,1.06122,0.00726,0.22103,0.04251,0.02473,0.72468,3.50819,0.89135,0.00034296,0.00034296,0.00034296
2,4.26014,0.96219,2.71175,0.97797,0.00763,0.2369,0.04481,0.02733,0.74404,3.40473,0.88937,0.00066555,0.00066555,0.00066555
3,5.6799,1.0521,1.90533,1.06723,0.41719,0.42698,0.53242,0.36642,1.02018,2.43862,0.98981,0.000952771,0.000952771,0.000952771
4,7.07279,0.94963,1.37704,1.00613,0.38472,0.69722,0.61711,0.46817,0.92341,1.73049,0.9515,0.00120463,0.00120463,0.00120463
5,8.47599,0.98293,1.44947,0.99427,0.44241,0.71825,0.58262,0.44706,0.89965,1.73077,0.92769,0.00114606,0.00114606,0.00114606
6,9.84099,1.00852,1.34987,1.01601,0.6837,0.77941,0.81348,0.61156,0.88483,1.41376,0.94634,0.00107532,0.00107532,0.00107532
7,11.2342,0.9233,1.31212,0.98525,0.78609,0.84561,0.90518,0.72004,0.8149,1.17367,0.94234,0.00100459,0.00100459,0.00100459
8,12.6105,0.86675,1.17016,0.99654,0.78609,0.84561,0.90518,0.72004,0.8149,1.17367,0.94234,0.000933851,0.000933851,0.000933851
9,14.0268,0.82389,0.98135,0.96203,0.94137,0.88591,0.96323,0.75076,0.80248,0.83777,0.94748,0.000863116,0.000863116,0.000863116
10,15.437,0.83325,1.10771,1.00014,0.95352,0.94534,0.97978,0.77702,0.7763,0.81254,0.93576,0.00079238,0.00079238,0.00079238
11,16.8187,0.77682,0.92568,0.93796,0.9654,0.93758,0.97584,0.77532,0.77381,0.83524,0.92593,0.000721645,0.000721645,0.000721645
12,18.1567,0.75737,0.82596,0.9241,0.9654,0.93758,0.97584,0.77532,0.77381,0.83524,0.92593,0.000650909,0.000650909,0.000650909
13,19.5117,0.76718,0.83488,0.95151,0.97518,0.94053,0.98358,0.78574,0.78201,0.83607,0.92342,0.000580174,0.000580174,0.000580174
14,20.8727,0.77968,0.83294,0.91968,0.96084,0.96454,0.99035,0.79536,0.75178,0.76783,0.91372,0.000509438,0.000509438,0.000509438
15,22.2322,0.7542,0.78233,0.94339,0.99466,0.98333,0.99329,0.79424,0.75308,0.67769,0.90871,0.000438703,0.000438703,0.000438703
16,23.5829,0.76018,0.76839,0.91638,0.99317,0.9844,0.99468,0.80539,0.73558,0.64062,0.90732,0.000367967,0.000367967,0.000367967
17,24.9336,0.72876,0.70325,0.926,0.99317,0.9844,0.99468,0.80539,0.73558,0.64062,0.90732,0.000297232,0.000297232,0.000297232
18,26.2993,0.74249,0.72213,0.90436,0.9858,0.98937,0.99468,0.81476,0.72074,0.61497,0.90452,0.000226497,0.000226497,0.000226497
19,27.6667,0.70759,0.67107,0.92706,0.98743,0.98858,0.99484,0.81803,0.72267,0.59725,0.9054,0.000155761,0.000155761,0.000155761
20,29.033,0.70971,0.6755,0.92737,0.99307,0.98744,0.99484,0.82411,0.72354,0.59018,0.90605,8.50255e-05,8.50255e-05,8.50255e-05
