epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63359,1.39862,3.36274,1.2684,0.7394,0.15873,0.09829,0.0516,1.59127,4.45109,1.38475,0.00017148,0.00017148,0.00017148
2,3.90007,1.36945,3.34479,1.27419,0.40591,0.21667,0.27943,0.21181,0.99826,25.1218,1.23835,0.000352829,0.000352829,0.000352829
3,5.2741,1.00791,1.95767,1.10324,0.83919,0.58652,0.78725,0.61849,0.77189,2.67739,1.02469,0.00052958,0.00052958,0.00052958
4,6.65082,0.84366,1.95802,0.99397,0.95384,0.80037,0.90625,0.72984,0.78931,11.7081,0.94355,0.000701734,0.000701734,0.000701734
5,7.99567,0.87027,1.34572,0.9731,0.69793,0.82412,0.72767,0.54269,0.96255,8.96279,1.0037,0.000869289,0.000869289,0.000869289
6,9.31677,0.91784,1.28363,1.01082,0.72841,0.804,0.79194,0.63092,0.84624,3.58105,0.97312,0.00103225,0.00103225,0.00103225
7,10.6195,0.87841,1.19613,0.99744,0.88733,0.87421,0.94128,0.72608,0.82556,1.72873,0.96916,0.00119061,0.00119061,0.00119061
8,11.9635,0.85745,1.05674,1.00317,0.70205,0.86968,0.84508,0.6557,0.84423,2.44438,0.95758,0.00130521,0.00130521,0.00130521
9,13.2416,0.91329,0.95259,0.99799,0.70205,0.86968,0.84508,0.6557,0.84423,2.44438,0.95758,0.00128753,0.00128753,0.00128753
10,14.5145,0.86987,0.93635,1.01528,0.88549,0.83308,0.91504,0.73744,0.74844,1.52122,0.91858,0.00126985,0.00126985,0.00126985
11,15.7959,0.86649,0.85621,0.97611,0.97279,0.84325,0.94009,0.71971,0.84424,0.96813,0.94686,0.00125216,0.00125216,0.00125216
12,17.0386,0.90129,0.82539,0.96926,0.87531,0.87331,0.89869,0.69753,0.86572,0.89203,0.96962,0.00123448,0.00123448,0.00123448
13,18.2775,0.83607,0.85376,0.97983,0.97394,0.95159,0.97371,0.76978,0.83257,0.69534,0.96053,0.00121679,0.00121679,0.00121679
14,19.5544,0.79407,0.71708,0.96741,0.96945,0.90415,0.98077,0.78552,0.81736,0.76644,0.97192,0.00119911,0.00119911,0.00119911
15,20.8067,0.82909,0.7543,0.96713,0.96945,0.90415,0.98077,0.78552,0.81736,0.76644,0.97192,0.00118143,0.00118143,0.00118143
16,22.0845,0.78907,0.67953,0.96882,0.98676,0.95258,0.9833,0.7907,0.78297,0.60709,0.94174,0.00116374,0.00116374,0.00116374
17,23.3364,0.78936,0.63963,0.97544,0.97466,0.959,0.99047,0.7856,0.79598,0.572,0.94358,0.00114606,0.00114606,0.00114606
18,24.5723,0.78895,0.63335,0.97377,0.98234,0.93332,0.97837,0.78818,0.78722,0.60791,0.93831,0.00112837,0.00112837,0.00112837
19,25.811,0.80601,0.61816,0.97184,0.97549,0.96323,0.97855,0.79026,0.77155,0.59143,0.93307,0.00111069,0.00111069,0.00111069
20,27.0231,0.75994,0.57719,0.95254,0.97549,0.96323,0.97855,0.79026,0.77155,0.59143,0.93307,0.00109301,0.00109301,0.00109301
21,28.2484,0.75886,0.53908,0.93155,0.99078,0.96958,0.99352,0.80359,0.77915,0.53645,0.9317,0.00107532,0.00107532,0.00107532
22,29.5165,0.76962,0.53959,0.92708,0.99501,0.9913,0.99468,0.80287,0.76497,0.49359,0.92963,0.00105764,0.00105764,0.00105764
23,30.7441,0.7622,0.52433,0.92426,0.99515,0.97964,0.99453,0.79649,0.77717,0.52285,0.94009,0.00103995,0.00103995,0.00103995
24,31.9553,0.77939,0.55642,0.92767,0.99589,0.97735,0.99421,0.8095,0.74991,0.53114,0.93519,0.00102227,0.00102227,0.00102227
25,33.2016,0.7522,0.53972,0.93796,0.99589,0.97735,0.99421,0.8095,0.74991,0.53114,0.93519,0.00100459,0.00100459,0.00100459
26,34.4642,0.73559,0.49072,0.90958,0.99602,0.98059,0.99414,0.82011,0.73633,0.47922,0.92387,0.000986903,0.000986903,0.000986903
27,35.7348,0.7141,0.47082,0.9065,0.9967,0.96933,0.99352,0.8161,0.74026,0.45998,0.92062,0.000969219,0.000969219,0.000969219
28,36.9445,0.72481,0.47102,0.91714,0.99766,0.96746,0.99315,0.81583,0.72146,0.447,0.91133,0.000951535,0.000951535,0.000951535
29,38.1691,0.73014,0.46535,0.92354,0.98899,0.97928,0.99414,0.81376,0.70743,0.43246,0.9066,0.000933851,0.000933851,0.000933851
30,39.4079,0.73053,0.45793,0.90644,0.99264,0.97865,0.99468,0.80439,0.75868,0.44961,0.92913,0.000916168,0.000916168,0.000916168
31,40.635,0.74258,0.4717,0.92789,0.99264,0.97865,0.99468,0.80439,0.75868,0.44961,0.92913,0.000898484,0.000898484,0.000898484
32,41.8455,0.70674,0.45626,0.90475,0.98701,0.99463,0.99484,0.80981,0.76357,0.42958,0.92567,0.0008808,0.0008808,0.0008808
33,43.0645,0.71113,0.44871,0.91541,0.98671,0.99277,0.99484,0.80732,0.72389,0.40919,0.90837,0.000863116,0.000863116,0.000863116
34,44.2843,0.72535,0.43618,0.93381,0.98943,0.98999,0.99484,0.81757,0.70891,0.39912,0.90133,0.000845432,0.000845432,0.000845432
35,45.4979,0.71655,0.42177,0.89987,0.99617,0.99507,0.995,0.82437,0.72048,0.40783,0.90955,0.000827748,0.000827748,0.000827748
36,46.7447,0.7235,0.44378,0.92079,0.99617,0.99507,0.995,0.82437,0.72048,0.40783,0.90955,0.000810064,0.000810064,0.000810064
37,48.0119,0.68057,0.42758,0.91686,0.9966,0.99439,0.995,0.82246,0.72754,0.41588,0.91282,0.00079238,0.00079238,0.00079238
38,49.2212,0.72456,0.42995,0.92129,0.99593,0.99167,0.99468,0.82098,0.71986,0.39712,0.90938,0.000774697,0.000774697,0.000774697
39,50.441,0.71283,0.42093,0.91274,0.99464,0.99167,0.99439,0.82474,0.70468,0.39566,0.90486,0.000757013,0.000757013,0.000757013
40,51.6931,0.68652,0.4206,0.92555,0.99483,0.99167,0.99453,0.8187,0.68673,0.36754,0.8971,0.000739329,0.000739329,0.000739329
41,52.9171,0.69507,0.41605,0.90338,0.99483,0.99167,0.99453,0.8187,0.68673,0.36754,0.8971,0.000721645,0.000721645,0.000721645
42,54.1445,0.73948,0.4248,0.93261,0.99772,0.9926,0.995,0.81661,0.70019,0.3669,0.89742,0.000703961,0.000703961,0.000703961
