#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.40	2.81	0.00	1.52	0.989	0.991	0.992	0.807	0.826
batch-02_epo-040	0.38	2.99	0.00	1.02	0.989	0.993	0.993	0.809	0.827
batch-02_epo-060	0.27	2.98	0.00	0.56	0.986	0.999	0.993	0.812	0.830
batch-02_epo-080	0.26	2.80	0.00	0.65	0.986	0.999	0.995	0.819	0.836
batch-02_epo-100	0.26	3.01	0.00	0.51	0.993	0.999	0.994	0.818	0.835
batch-04_epo-020	0.25	3.09	0.00	0.96	0.987	0.996	0.992	0.810	0.829
batch-04_epo-040	0.25	2.83	0.00	0.82	0.993	0.994	0.993	0.812	0.831
batch-04_epo-060	0.26	2.89	0.00	0.85	0.993	0.993	0.993	0.811	0.829
batch-04_epo-080	0.25	2.68	0.00	0.62	0.992	0.994	0.993	0.817	0.835
batch-04_epo-100	0.24	2.51	0.00	0.73	0.989	0.999	0.993	0.821	0.839
batch-08_epo-020	0.23	1.57	0.00	2.06	0.990	0.994	0.993	0.813	0.831
batch-08_epo-040	0.29	1.55	0.00	1.82	0.985	0.997	0.993	0.813	0.831
batch-08_epo-060	0.23	1.59	0.00	1.88	0.989	0.997	0.993	0.814	0.832
batch-08_epo-080	0.26	1.55	0.00	1.15	0.985	0.997	0.992	0.814	0.832
batch-08_epo-100	0.26	1.61	0.00	1.74	0.985	0.997	0.994	0.818	0.836
batch-16_epo-020	0.51	2.50	0.00	2.30	0.990	0.994	0.992	0.811	0.829
batch-16_epo-040	0.53	1.49	0.00	1.53	0.984	0.997	0.992	0.814	0.831
batch-16_epo-060	0.57	1.79	0.00	2.03	0.990	0.993	0.993	0.813	0.831
batch-16_epo-080	0.52	1.55	0.00	1.99	0.990	0.993	0.995	0.820	0.838
batch-16_epo-100	0.46	1.57	0.00	1.78	0.992	0.993	0.995	0.824	0.841
batch-32_epo-020	1.06	2.29	0.00	1.30	0.993	0.995	0.994	0.804	0.823
batch-32_epo-040	1.09	2.23	0.00	1.51	0.989	0.994	0.992	0.810	0.829
batch-32_epo-060	1.09	2.47	0.00	1.67	0.992	0.991	0.993	0.813	0.831
batch-32_epo-080	1.09	2.31	0.00	0.79	0.989	0.997	0.995	0.817	0.835
batch-32_epo-100	1.08	2.37	0.00	0.97	0.991	0.993	0.995	0.816	0.834
