#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	2.30	0.00	0.88	0.985	0.996	0.992	0.812	0.830
batch-02_epo-040	0.27	2.42	0.00	1.01	0.989	0.999	0.993	0.814	0.832
batch-02_epo-060	0.26	2.17	0.00	0.78	0.996	0.996	0.993	0.816	0.834
batch-02_epo-080	0.26	2.40	0.00	0.69	0.987	1.000	0.994	0.822	0.839
batch-02_epo-100	0.26	2.19	0.00	0.83	0.995	0.995	0.994	0.827	0.843
batch-04_epo-020	0.25	2.16	0.00	1.43	0.986	0.999	0.992	0.821	0.838
batch-04_epo-040	0.25	2.15	0.00	1.19	0.985	1.000	0.993	0.814	0.832
batch-04_epo-060	0.25	2.02	0.00	1.24	0.991	0.999	0.993	0.815	0.833
batch-04_epo-080	0.25	1.90	0.00	1.23	0.994	0.995	0.994	0.823	0.840
batch-04_epo-100	0.25	2.00	0.00	1.21	0.993	0.991	0.992	0.826	0.843
batch-08_epo-020	0.26	1.75	0.00	2.27	0.990	0.997	0.993	0.813	0.831
batch-08_epo-040	0.30	1.79	0.00	1.99	0.989	0.998	0.994	0.816	0.834
batch-08_epo-060	0.26	1.76	0.00	2.10	0.990	1.000	0.993	0.822	0.839
batch-08_epo-080	0.28	1.76	0.00	1.40	0.994	0.998	0.993	0.829	0.846
batch-08_epo-100	0.26	1.76	0.00	1.96	0.990	0.999	0.994	0.823	0.840
batch-16_epo-020	0.48	2.03	0.00	2.29	0.986	0.997	0.993	0.816	0.834
batch-16_epo-040	0.49	1.54	0.00	1.47	0.991	1.000	0.993	0.814	0.832
batch-16_epo-060	0.50	1.61	0.00	1.20	0.992	0.997	0.994	0.820	0.838
batch-16_epo-080	0.53	1.66	0.00	1.21	0.989	1.000	0.994	0.826	0.842
batch-16_epo-100	0.52	1.61	0.00	1.26	0.991	1.000	0.994	0.824	0.841
