#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.27	2.92	0.00	3.16	0.993	0.987	0.995	0.823	0.840
batch-02_epo-040	0.27	2.91	0.00	2.18	0.997	0.976	0.990	0.841	0.856
batch-02_epo-060	0.26	3.13	0.00	2.57	0.995	0.993	0.995	0.840	0.856
batch-02_epo-080	0.26	3.14	0.00	2.46	0.994	0.999	0.995	0.840	0.855
batch-02_epo-100	0.26	3.15	0.00	2.53	0.995	0.999	0.995	0.838	0.854
batch-04_epo-020	0.56	2.92	0.00	2.55	0.987	0.994	0.994	0.818	0.835
batch-04_epo-040	0.28	2.01	0.00	2.04	0.994	1.000	0.995	0.830	0.847
batch-04_epo-060	0.27	2.00	0.00	1.86	0.992	0.998	0.995	0.839	0.854
batch-04_epo-080	0.29	2.31	0.00	1.70	0.996	0.999	0.995	0.838	0.854
batch-04_epo-100	0.27	2.00	0.00	2.06	0.996	1.000	0.995	0.839	0.855
batch-08_epo-020	1.17	1.87	0.00	0.89	0.993	0.997	0.995	0.825	0.842
batch-08_epo-040	1.19	1.87	0.00	0.86	0.986	0.984	0.993	0.833	0.849
batch-08_epo-060	0.61	1.87	0.00	0.69	0.995	0.989	0.995	0.843	0.858
batch-08_epo-080	1.18	1.87	0.00	0.59	0.997	1.000	0.995	0.844	0.859
batch-08_epo-100	1.17	1.87	0.00	0.57	0.996	1.000	0.995	0.839	0.855
batch-10_epo-020	0.22	1.75	0.00	0.69	0.990	0.981	0.995	0.816	0.834
batch-10_epo-040	0.22	1.68	0.00	0.69	0.989	0.990	0.995	0.832	0.848
batch-10_epo-060	0.22	1.69	0.00	0.70	0.997	0.989	0.995	0.834	0.850
batch-10_epo-080	0.22	1.68	0.00	0.57	0.997	0.989	0.995	0.845	0.860
batch-10_epo-100	0.22	1.68	0.00	0.54	0.997	1.000	0.995	0.837	0.853
batch-16_epo-020	0.22	1.68	0.00	0.68	0.968	0.735	0.962	0.786	0.804
batch-16_epo-040	0.22	1.68	0.00	0.66	0.990	0.988	0.995	0.836	0.852
batch-16_epo-060	0.22	1.69	0.00	0.55	0.990	0.993	0.995	0.838	0.854
batch-16_epo-080	0.22	1.69	0.00	0.53	0.997	0.987	0.995	0.835	0.851
batch-16_epo-100	0.22	1.68	0.00	0.52	0.997	0.988	0.995	0.835	0.851
batch-20_epo-020	0.22	1.69	0.00	0.69	1.000	0.356	0.874	0.732	0.746
batch-20_epo-040	0.22	1.68	0.00	0.68	0.991	0.988	0.995	0.832	0.848
batch-20_epo-060	0.22	1.68	0.00	0.52	0.996	0.980	0.995	0.834	0.850
batch-20_epo-080	0.22	1.68	0.00	0.51	0.998	0.990	0.995	0.844	0.859
batch-20_epo-100	0.22	1.68	0.00	0.50	0.995	0.998	0.995	0.831	0.848
batch-30_epo-020	0.22	1.68	0.00	0.64	1.000	0.107	0.840	0.686	0.701
batch-30_epo-040	0.22	1.68	0.00	0.55	1.000	0.752	0.989	0.826	0.842
batch-30_epo-060	0.22	1.68	0.00	0.54	0.986	0.994	0.995	0.825	0.842
batch-30_epo-080	0.22	1.69	0.00	0.50	0.985	0.991	0.995	0.838	0.853
batch-30_epo-100	0.22	1.68	0.00	0.48	0.998	0.994	0.995	0.833	0.850
