#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitnessi
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.26	4.93	0.00	5.00	0.946	0.947	0.977	0.776	0.796
batch-02_epo-040	0.26	4.96	0.00	2.06	0.978	0.946	0.983	0.800	0.818
batch-02_epo-060	0.26	4.91	0.00	1.91	0.979	0.982	0.992	0.821	0.838
batch-02_epo-080	0.26	5.01	0.00	1.97	0.995	0.977	0.994	0.842	0.857
batch-02_epo-100	0.27	4.93	0.00	2.03	0.998	0.992	0.994	0.840	0.856
batch-04_epo-020	0.27	4.60	0.00	1.06	0.977	0.997	0.994	0.813	0.831
batch-04_epo-040	0.31	4.65	0.00	0.79	0.998	1.000	0.995	0.826	0.843
batch-04_epo-060	0.28	4.54	0.00	0.94	0.998	0.985	0.995	0.850	0.864
batch-04_epo-080	0.28	4.54	0.00	0.95	0.997	0.992	0.995	0.841	0.857
batch-04_epo-100	0.28	4.60	0.00	0.84	0.987	0.992	0.995	0.849	0.864
batch-08_epo-020	0.62	4.42	0.00	0.42	0.994	0.999	0.995	0.823	0.840
batch-08_epo-040	1.19	4.42	0.00	0.36	0.989	1.000	0.995	0.833	0.849
batch-08_epo-060	1.18	4.43	0.00	0.35	0.993	0.999	0.995	0.852	0.866
batch-08_epo-080	1.18	4.43	0.00	0.35	0.996	0.993	0.995	0.849	0.863
batch-08_epo-100	1.19	4.43	0.00	0.36	0.993	0.999	0.995	0.847	0.861
batch-10_epo-020	0.22	4.05	0.00	0.56	0.977	0.997	0.994	0.823	0.840
batch-10_epo-040	0.22	3.99	0.00	0.33	0.988	0.998	0.995	0.826	0.843
batch-10_epo-060	0.22	3.99	0.00	0.33	0.997	0.999	0.995	0.839	0.855
batch-10_epo-080	0.22	3.99	0.00	0.33	0.998	1.000	0.995	0.840	0.856
batch-10_epo-100	0.22	3.99	0.00	0.33	0.997	1.000	0.995	0.846	0.861
batch-16_epo-020	0.22	3.99	0.00	0.56	0.998	0.988	0.995	0.818	0.836
batch-16_epo-040	0.22	3.99	0.00	0.33	0.997	1.000	0.995	0.838	0.853
batch-16_epo-060	0.22	3.98	0.00	0.32	0.997	1.000	0.995	0.838	0.854
batch-16_epo-080	0.22	3.99	0.00	0.33	0.996	0.998	0.995	0.836	0.852
batch-16_epo-100	0.22	3.99	0.00	0.32	0.997	1.000	0.995	0.851	0.865
batch-20_epo-020	0.22	3.98	0.00	2.39	0.996	0.999	0.995	0.817	0.835
batch-20_epo-040	0.22	3.84	0.00	0.33	0.992	0.999	0.995	0.832	0.848
batch-20_epo-060	0.22	4.00	0.00	0.33	0.998	1.000	0.995	0.845	0.860
batch-20_epo-080	0.22	3.99	0.00	0.32	0.996	1.000	0.995	0.840	0.856
batch-20_epo-100	0.22	3.99	0.00	0.32	0.997	1.000	0.995	0.850	0.865
batch-30_epo-020	0.22	3.99	0.00	3.27	0.975	0.963	0.981	0.805	0.823
batch-30_epo-040	0.22	3.64	0.00	0.38	0.997	0.997	0.995	0.826	0.843
batch-30_epo-060	0.22	4.01	0.00	0.33	0.995	0.999	0.995	0.838	0.854
batch-30_epo-080	0.22	3.99	0.00	0.32	0.997	1.000	0.995	0.844	0.859
batch-30_epo-100	0.22	4.00	0.00	0.32	0.997	1.000	0.995	0.853	0.867
